# adc map, run 2202
# module connector cable preamp
adc01 0 A-TOP-00 T0
adc02 0 A-TOP-01 T1
adc03 0 A-TOP-02 T2
adc04 0 A-TOP-03 T3
adc05 0 A-TOP-04 T4
adc06 0 A-TOP-05 T5
adc07 0 A-TOP-06 T6
adc08 0 A-TOP-07 T7
adc09 0 A-TOP-08 T8
adc10 0 A-TOP-09 T9
adc18 0 A-TOP-10 T10
adc12 0 A-TOP-11 T11
adc13 0 A-TOP-12 T12
adc14 0 A-TOP-13 T13
adc17 0 A-TOP-14 T14
adc16 0 A-TOP-15 T15
#end
