512 , 8 , 3 : 3.13s,30.14s,VF48Events:565,Verticies:518,PassedCuts:363
512 , 8 , 3.5 : 3.15s,29.60s,VF48Events:565,Verticies:518,PassedCuts:362
512 , 8 , 4 : 3.18s,29.34s,VF48Events:565,Verticies:517,PassedCuts:365
512 , 4 , 2 : 3.47s,30.58s,VF48Events:565,Verticies:519,PassedCuts:359
512 , 4 , 2.5 : 3.53s,29.73s,VF48Events:565,Verticies:518,PassedCuts:365
512 , 4 , 3 : 3.49s,29.77s,VF48Events:565,Verticies:517,PassedCuts:367
512 , 4 , 3.5 : 3.43s,29.47s,VF48Events:565,Verticies:518,PassedCuts:365
512 , 4 , 4 : 3.73s,29.38s,VF48Events:565,Verticies:516,PassedCuts:365
512 , 1 , 2 : 13.91s,30.69s,VF48Events:565,Verticies:519,PassedCuts:361
512 , 1 , 2.5 : 14.17s,29.81s,VF48Events:565,Verticies:518,PassedCuts:366
512 , 1 , 3 : 13.95s,29.37s,VF48Events:565,Verticies:517,PassedCuts:365
512 , 1 , 3.5 : 13.62s,29.51s,VF48Events:565,Verticies:518,PassedCuts:366
512 , 1 , 4 : 13.33s,29.40s,VF48Events:565,Verticies:516,PassedCuts:364
512 , 0.25 , 2 : 14.81s,30.58s,VF48Events:565,Verticies:519,PassedCuts:364
512 , 0.25 , 2.5 : 13.93s,29.75s,VF48Events:565,Verticies:518,PassedCuts:367
512 , 0.25 , 3 : 15.03s,29.70s,VF48Events:565,Verticies:518,PassedCuts:366
512 , 0.25 , 3.5 : 14.06s,29.45s,VF48Events:565,Verticies:518,PassedCuts:366
512 , 0.25 , 4 : 13.76s,29.43s,VF48Events:565,Verticies:516,PassedCuts:365
512 , 0.1 , 2 : 19.18s,30.65s,VF48Events:565,Verticies:519,PassedCuts:365
512 , 0.1 , 2.5 : 18.18s,29.98s,VF48Events:565,Verticies:518,PassedCuts:367
512 , 0.1 , 3 : 18.75s,29.58s,VF48Events:565,Verticies:517,PassedCuts:365
512 , 0.1 , 3.5 : 18.28s,29.62s,VF48Events:565,Verticies:518,PassedCuts:367
512 , 0.1 , 4 : 19.09s,29.58s,VF48Events:565,Verticies:516,PassedCuts:366
1024 , 16 , 2 : 3.20s,33.40s,VF48Events:565,Verticies:512,PassedCuts:336
1024 , 16 , 2.5 : 3.24s,30.26s,VF48Events:565,Verticies:518,PassedCuts:361
1024 , 16 , 3 : 3.25s,29.82s,VF48Events:565,Verticies:517,PassedCuts:357
1024 , 16 , 3.5 : 3.09s,29.81s,VF48Events:565,Verticies:518,PassedCuts:362
1024 , 16 , 4 : 3.18s,29.70s,VF48Events:565,Verticies:515,PassedCuts:366
1024 , 8 , 2 : 3.23s,30.28s,VF48Events:565,Verticies:516,PassedCuts:352
