# adc map, run 1588
# module connector cable preamp
adc01 0 A-TOP-00 T0
adc02 0 A-TOP-01 T1
adc03 0 A-TOP-02 T2
adc04 0 A-BOT-00 B0
adc05 0 A-BOT-01 B1
adc06 0 A-BOT-02 B2
adc07 0 A-TOP-06 T6
adc08 0 A-TOP-07 T7
adc09 0 A-TOP-08 T8
adc13 0 A-BOT-06 B6
adc15 0 A-BOT-07 B7
adc16 0 A-BOT-08 B8
adc17 0 A-TOP-12 T12
adc18 0 A-TOP-13 T13
#end
