  Psi0s, Psi_finals, np.log10(F_esc)
  28.59200,  28.59200, -12.80676
  28.58400,  28.58400, -12.80322
  28.57600,  28.57600, -12.79969
  28.56800,  28.56800, -12.79615
  28.56000,  28.56000, -12.79262
  28.55200,  28.55200, -12.78908
  28.54400,  28.54400, -12.78555
  28.53600,  28.53600, -12.78202
  28.52800,  28.52800, -12.77848
  28.52000,  28.52000, -12.77494
  28.51200,  28.51200, -12.77141
  28.50400,  28.50400, -12.76788
  28.49600,  28.49600, -12.76434
  28.48800,  28.48800, -12.76081
  28.48000,  28.48000, -12.75727
  28.47200,  28.47200, -12.75374
  28.46400,  28.46400, -12.75020
  28.45600,  28.45600, -12.74667
  28.44800,  28.44800, -12.74313
  28.44000,  28.44000, -12.73960
  28.43200,  28.43200, -12.73606
  28.42400,  28.42400, -12.73253
  28.41600,  28.41600, -12.72900
  28.40800,  28.40800, -12.72546
  28.40000,  28.40000, -12.72193
  28.39200,  28.39200, -12.71839
  28.38400,  28.38400, -12.71486
  28.37600,  28.37600, -12.71132
  28.36800,  28.36800, -12.70779
  28.36000,  28.36000, -12.70426
  28.35200,  28.35200, -12.70072
  28.34400,  28.34400, -12.69718
  28.33600,  28.33600, -12.69365
  28.32800,  28.32800, -12.69012
  28.32000,  28.32000, -12.68658
  28.31200,  28.31200, -12.68305
  28.30400,  28.30400, -12.67951
  28.29600,  28.29600, -12.67598
  28.28800,  28.28800, -12.67244
  28.28000,  28.28000, -12.66891
  28.27200,  28.27200, -12.66538
  28.26400,  28.26400, -12.66184
  28.25600,  28.25600, -12.65831
  28.24800,  28.24800, -12.65477
  28.24000,  28.24000, -12.65124
  28.23200,  28.23200, -12.64770
  28.22400,  28.22400, -12.64417
  28.21600,  28.21600, -12.64063
  28.20800,  28.20800, -12.63710
  28.20000,  28.20000, -12.63357
  28.19200,  28.19200, -12.63003
  28.18400,  28.18400, -12.62650
  28.17600,  28.17600, -12.62296
  28.16800,  28.16800, -12.61943
  28.16000,  28.16000, -12.61589
  28.15200,  28.15200, -12.61236
  28.14400,  28.14400, -12.60883
  28.13600,  28.13600, -12.60529
  28.12800,  28.12800, -12.60176
  28.12000,  28.12000, -12.59822
  28.11200,  28.11200, -12.59469
  28.10400,  28.10400, -12.59115
  28.09600,  28.09600, -12.58762
  28.08800,  28.08800, -12.58409
  28.08000,  28.08000, -12.58055
  28.07200,  28.07200, -12.57702
  28.06400,  28.06400, -12.57348
  28.05600,  28.05600, -12.56995
  28.04800,  28.04800, -12.56641
  28.04000,  28.04000, -12.56288
  28.03200,  28.03200, -12.55934
  28.02400,  28.02400, -12.55581
  28.01600,  28.01600, -12.55228
  28.00800,  28.00800, -12.54874
  28.00000,  28.00000, -12.54521
  27.99200,  27.99200, -12.54167
  27.98400,  27.98400, -12.53814
  27.97600,  27.97600, -12.53460
  27.96800,  27.96800, -12.53107
  27.96000,  27.96000, -12.52754
  27.95200,  27.95200, -12.52400
  27.94400,  27.94400, -12.52047
  27.93600,  27.93600, -12.51693
  27.92800,  27.92800, -12.51340
  27.92000,  27.92000, -12.50987
  27.91200,  27.91200, -12.50633
  27.90400,  27.90400, -12.50280
  27.89600,  27.89600, -12.49926
  27.88800,  27.88800, -12.49573
  27.88000,  27.88000, -12.49219
  27.87200,  27.87200, -12.48866
  27.86400,  27.86400, -12.48512
  27.85600,  27.85600, -12.48159
  27.84800,  27.84800, -12.47805
  27.84000,  27.84000, -12.47452
  27.83200,  27.83200, -12.47099
  27.82400,  27.82400, -12.46745
  27.81600,  27.81600, -12.46392
  27.80800,  27.80800, -12.46038
  27.80000,  27.80000, -12.45685
  27.79200,  27.79200, -12.45332
  27.78400,  27.78400, -12.44978
  27.77600,  27.77600, -12.44625
  27.76800,  27.76800, -12.44271
  27.76000,  27.76000, -12.43918
  27.75200,  27.75200, -12.43564
  27.74400,  27.74400, -12.43211
  27.73600,  27.73600, -12.42857
  27.72800,  27.72800, -12.42504
  27.72000,  27.72000, -12.42150
  27.71200,  27.71200, -12.41797
  27.70400,  27.70400, -12.41444
  27.69600,  27.69600, -12.41090
  27.68800,  27.68800, -12.40737
  27.68000,  27.68000, -12.40383
  27.67200,  27.67200, -12.40030
  27.66400,  27.66400, -12.39676
  27.65600,  27.65600, -12.39323
  27.64800,  27.64800, -12.38970
  27.64000,  27.64000, -12.38616
  27.63200,  27.63200, -12.38263
  27.62400,  27.62400, -12.37909
  27.61600,  27.61600, -12.37556
  27.60800,  27.60800, -12.37202
  27.60000,  27.60000, -12.36849
  27.59200,  27.59200, -12.36495
  27.58400,  27.58400, -12.36142
  27.57600,  27.57600, -12.35788
  27.56800,  27.56800, -12.35435
  27.56000,  27.56000, -12.35082
  27.55200,  27.55200, -12.34728
  27.54400,  27.54400, -12.34375
  27.53600,  27.53600, -12.34021
  27.52800,  27.52800, -12.33668
  27.52000,  27.52000, -12.33314
  27.51200,  27.51200, -12.32961
  27.50400,  27.50400, -12.32607
  27.49600,  27.49600, -12.32254
  27.48800,  27.48800, -12.31900
  27.48000,  27.48000, -12.31547
  27.47200,  27.47200, -12.31194
  27.46400,  27.46400, -12.30840
  27.45600,  27.45600, -12.30487
  27.44800,  27.44800, -12.30133
  27.44000,  27.44000, -12.29780
  27.43200,  27.43200, -12.29426
  27.42400,  27.42400, -12.29073
  27.41600,  27.41600, -12.28719
  27.40800,  27.40800, -12.28366
  27.40000,  27.40000, -12.28012
  27.39200,  27.39200, -12.27659
  27.38400,  27.38400, -12.27306
  27.37600,  27.37600, -12.26952
  27.36800,  27.36800, -12.26599
  27.36000,  27.36000, -12.26245
  27.35200,  27.35200, -12.25892
  27.34400,  27.34400, -12.25538
  27.33600,  27.33600, -12.25185
  27.32800,  27.32800, -12.24831
  27.32000,  27.32000, -12.24478
  27.31200,  27.31200, -12.24124
  27.30400,  27.30400, -12.23771
  27.29600,  27.29600, -12.23417
  27.28800,  27.28800, -12.23064
  27.28000,  27.28000, -12.22710
  27.27200,  27.27200, -12.22357
  27.26400,  27.26400, -12.22003
  27.25600,  27.25600, -12.21650
  27.24800,  27.24800, -12.21296
  27.24000,  27.24000, -12.20943
  27.23200,  27.23200, -12.20589
  27.22400,  27.22400, -12.20236
  27.21600,  27.21600, -12.19883
  27.20800,  27.20800, -12.19529
  27.20000,  27.20000, -12.19176
  27.19200,  27.19200, -12.18822
  27.18400,  27.18400, -12.18469
  27.17600,  27.17600, -12.18115
  27.16800,  27.16800, -12.17762
  27.16000,  27.16000, -12.17408
  27.15200,  27.15200, -12.17055
  27.14400,  27.14400, -12.16701
  27.13600,  27.13600, -12.16348
  27.12800,  27.12800, -12.15994
  27.12000,  27.12000, -12.15641
  27.11200,  27.11200, -12.15287
  27.10400,  27.10400, -12.14934
  27.09600,  27.09600, -12.14580
  27.08800,  27.08800, -12.14227
  27.08000,  27.08000, -12.13873
  27.07200,  27.07200, -12.13520
  27.06400,  27.06400, -12.13166
  27.05600,  27.05600, -12.12813
  27.04800,  27.04800, -12.12459
  27.04000,  27.04000, -12.12106
  27.03200,  27.03200, -12.11752
  27.02400,  27.02400, -12.11399
  27.01600,  27.01600, -12.11045
  27.00800,  27.00800, -12.10692
  27.00000,  27.00000, -12.10338
  26.99200,  26.99200, -12.09985
  26.98400,  26.98400, -12.09631
  26.97600,  26.97600, -12.09277
