46.002	48.441	44.302	45.048	52.214	46.245	48.62	45.063	47.254	45.502	42.514	44.004	46.591	48.219	45.172	46.862	46.647	49.623	46.555	44.869	46.379	44.85	48.199	45.77	46.583	43.539	45.549	48.707	48.089	47.07	46.501	46.524	46.738	43.674	42.957	43.998	45.61	46.046	46.974	47.496	45.725	45.438	46.547	45.166	46.942	47.346	46.749	45.724	42.882	47.016	47.913	46.577	44.015	47.552	47.292	46.904	46.634	45.957	44.997	46.672
40.474	43.199	40.001	40.472	47.052	41.185	43.586	40.675	41.924	41.175	39.023	39.905	41.82	43.219	40.316	40.948	41.27	44.369	40.957	40.421	40.948	38.883	42.234	40.399	41.363	38.69	40.925	43.324	41.965	42.335	40.283	40.674	41.35	37.481	38.068	38.919	39.645	40.076	41.101	42.405	40.148	38.992	41.56	40.344	41.107	41.96	41.692	40.238	39.049	41.637	42.211	41.782	39.016	40.892	41.327	40.186	42.024	40.869	39.871	40.119
40.732	42.929	40.958	40.011	47.256	41.26	44.18	39.868	42.22	41.595	37.498	39.475	40.97	42.75	40.167	41.52	41.524	43.435	40.454	39.568	39.927	40.004	41.03	40.537	41.534	38.826	40.172	43.53	42.192	40.96	40.355	40.443	40.514	38.678	39.624	39.375	40.475	39.65	41.614	42.516	39.264	39.142	42.131	39.579	41.527	41.589	41.308	40.559	38.663	41.627	43.08	41.213	39.223	41.448	41.009	39.585	40.267	41	39.721	42.106
46.039	47.525	44.398	44.839	52.175	46.354	49.016	45.146	47.807	45.89	42.32	44.031	46.523	47.421	45.08	46.369	46.913	49.886	46.194	45.372	45.974	44.699	48.209	45.032	45.885	43.655	45.027	48.503	47.588	46.506	45.759	46.203	45.836	42.914	43.382	44.088	44.994	44.904	46.205	47.256	45.919	44.233	46.511	45.381	47.089	46.747	46.789	45.679	43.139	46.377	47.768	46.434	43.486	46.632	47.015	45.628	46.35	45.677	44.791	46.727
45.834	47.153	44.761	44.684	52.443	46.41	49.119	45.765	46.628	46.19	42.676	43.755	46.762	47.951	46.563	46.971	46.853	49.965	46.085	45.474	45.744	44.944	47.756	45.633	45.342	43.712	45.536	49.555	47.809	46.329	45.639	45.312	46.283	43.471	43.45	43.735	45.321	44.751	47.32	47.075	44.821	44.186	45.608	45.08	47.037	46.888	46.414	46.068	42.924	46.59	47.846	46.016	44.044	46.268	47.227	45.01	46.24	45.59	44.835	47.619
41.05	42.06	40.12	40.111	46.343	40.768	43.459	40.614	42.024	41.148	37.621	39.798	41.034	42.551	40.935	42.016	40.929	43.942	41.626	41.806	41.013	40.165	42.67	39.735	41.543	38.856	39.994	44.52	42.797	41.113	40.82	40.294	40.687	37.567	38.025	39.146	40.492	39.624	42.02	42.23	39.911	39.29	41.229	40.395	41.032	42.12	40.544	40.534	38.018	40.843	42.921	40.986	39.064	41.03	42.176	39.632	40.725	40.862	40.053	41.971
41.705	41.629	41.058	40.446	46.574	40.709	44.115	40.674	41.836	41.454	37.825	39.981	41.713	41.856	40.487	40.952	41.855	44.227	41.952	40.081	41.073	40.095	42.145	40.353	40.598	38.034	41.366	43.626	41.924	41.728	40.882	40.515	41.274	37.475	38.691	39.157	40.968	40.059	42.102	41.966	40.101	50.647	40.843	40.995	42.353	42.585	40.82	40.655	37.901	41.307	43.264	41.172	39.299	41.028	41.09	40.39	41.62	40.205	40.16	41.359
46.12	48.035	44.698	45.529	51.839	46.356	49.316	45.966	47.151	46.143	41.957	43.776	46.839	47.307	45.152	46.617	46.25	50.034	46.058	45	45.747	44.744	47.988	45.893	46.095	44.371	45.039	48.835	47.948	46.704	45.716	45.174	45.642	43.475	43.34	43.775	44.95	45.11	46.779	48.15	45.808	41.68	46.706	45.161	47.152	46.339	46.574	45.786	42.964	46.39	47.75	46.122	44.167	46.375	46.898	45.282	45.837	45.953	44.852	46.204
45.947	47.727	44.602	45.381	52.286	45.91	49.122	44.908	47.342	45.459	42.877	44.26	46.39	47.5	45.542	47.097	46.389	50.227	46.134	45.784	45.388	44.771	48.691	46.066	46.518	44.291	45.508	48.905	47.95	45.95	46.279	45.945	46.665	43.298	42.506	43.654	45.773	44.764	46.746	47.873	45.499	44.965	46.165	45.534	46.859	46.86	46.714	46.789	43.408	47.043	47.353	46.157	44.43	47.09	47.512	45.437	45.923	46.265	45.039	46.77
40.554	41.939	39.928	40.687	46.074	41.108	43.808	40.18	40.943	41.213	37.673	39.17	41.926	42.575	39.941	41.842	41.05	43.848	39.861	40.163	40.894	39.65	42.254	40.767	40.582	39.303	40.183	43.164	41.851	41.405	39.446	40.587	41.61	38.986	39.225	39.652	40.367	39.054	41.5	43.126	40.925	39.277	41.6	40.215	41.159	41.01	40.877	40.639	37.442	41.238	41.818	40.858	38.474	40.625	41.301	40.605	41.925	39.596	39.552	40.891
