57.8648	1.67258	10.5648	-856.065
85.6272	-12.1975	-6.88642	-687.737
91	-6.57525	15.7912	-554.107
73.6714	19.8535	13.5021	-339.022
82.6325	-9.86323	9.93916	-688.469
85.765	-8.27017	-14.8921	-686.061
83.8784	10.1407	9.6562	-688.441
85.3352	-8.13749	11.3985	-687.517
91	4.57964	3.88725	-501.395
91	7.33158	-5.44665	-595.07
91	-5.83973	8.69919	-562.827
85.7874	-11.393	-8.14017	-687.321
80.347	11.7208	7.66004	-694.26
69.4204	0.978989	23.9853	-287.388
84.8948	-1.90089	20.0125	-686.06
82.0761	9.7163	10.0916	-688.326
71.3307	-13.8727	-2.46592	-686.06
85.1412	13.8468	2.12455	-686.853
85.0907	7.06158	12.0907	-690.879
91	-8.35165	-7.9508	-495.964
91	16.8003	-3.97853	-642
83.7703	-9.6012	-15.8366	-686.063
91	9.16419	15.3278	-629.105
71.0388	-22.0817	9.40318	-300.695
91	-20.899	2.83389	-530.921
85.2397	4.92241	13.1091	-688.958
91	3.40301	-8.86354	-447.014
91	-1.89781	13.1569	-565.784
85.9226	3.27252	-13.6225	-686.112
73.7325	8.90564	10.8065	-688.21
85.5521	6.55422	15.1222	-686.061
74.6915	-13.7887	2.43733	-687.991
85.7668	4.01403	13.4265	-734.604
80.3009	-11.076	8.56417	-686.874
73.6275	7.31492	-22.8799	-339.036
60.8154	-10.5951	9.15123	-754.555
91	-16.5322	-13.2866	-455.823
91	-10.1585	3.26495	-528.17
81.3925	7.0517	-12.0995	-687.388
91	1.00133	11.0148	-542.877
85.8027	2.72171	-15.3004	-686.061
85.7396	-2.50623	13.7903	-686.286
74.5133	-1.9443	13.8654	-690.007
84.9051	-7.88369	11.5723	-688.053
91	5.18258	4.80281	-613.773
84.5061	-9.93163	-9.87476	-686.149
72.7999	12.1223	-7.01064	-692.284
77.2678	-12.2481	-6.78147	-688.905
86.1084	1.46576	17.2075	-686.061
78.1047	9.60209	-10.192	-687.142
85.6868	15.6008	7.48835	-686.06
59.198	-10.4016	21.635	-307.183
85.6638	-13.732	2.79229	-686.652
81.9821	12.7088	-7.06544	-686.062
85.8521	-8.68732	-10.996	-686.519
74.846	23.9916	0.701258	-55.2109
57.1771	18.0048	-15.8844	-292.851
91	6.22939	-17.6943	-516.281
91	14.6424	10.7178	-615.744
80.787	-9.6429	10.151	-690.153
86.0187	-3.79687	-13.4835	-733.881
83.2076	14.8485	-4.98717	-686.063
84.8816	-10.3383	13.1782	-686.06
91	0.763267	9.85477	-503.776
81.9061	12.2978	-6.70482	-723.875
91	-8.91693	-14.0134	-454.57
84.5382	17.6975	7.20761	-686.063
86.084	-6.46563	15.3299	-686.06
91	14.9885	13.1648	-487.457
91	1.58516	16.7088	-488.304
91	8.01197	10.8616	-639.916
85.8735	8.25349	11.312	-686.46
80.5955	-0.0890982	14.0032	-692.329
55.2625	10.9505	-8.72446	-853.025
86.057	5.80299	-12.7515	-686.356
91	-13.7719	8.74021	-502.447
81.1589	-13.985	-0.664376	-748.788
85.0851	-14.2903	10.8909	-686.06
85.4989	-4.43635	-16.6571	-686.061
85.271	-20.7564	-4.55433	-686.061
85.4207	18.5695	-3.537	-686.062
74.7807	-12.1576	6.9655	-767.047
71.3585	10.1706	9.62611	-693.781
74.1694	-12.4625	20.5232	-337.355
91	-4.7	6.4766	-535.233
61.499	21.8846	9.85523	-306.841
